ID,Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Total_Platforms
162,Tom Segura: Disgraceful,2018,13+,80,1,0,0,0,Movie,1
163,My Happy Family,2017,Unknown,80,1,0,0,0,Movie,1
164,The American Meme,2018,Unknown,80,1,0,0,0,Movie,1
165,Badla,2019,7+,80,1,0,0,0,Movie,1
166,Okko's Inn,2018,7+,80,1,0,0,0,Movie,1
167,The Willoughbys,2020,7+,80,1,0,0,0,Movie,1
168,Hunt for the Wilderpeople,2016,13+,80,1,1,0,0,Movie,2
169,Stardust,2007,13+,79,1,0,0,0,Movie,1
170,Wheelman,2017,18+,79,1,0,0,0,Movie,1
171,The Artist,2011,13+,79,1,1,0,0,Movie,2
172,On My Skin,2018,18+,79,1,0,0,0,Movie,1
173,Gaga: Five Foot Two,2017,18+,79,1,0,0,0,Movie,1
174,Hugo,2011,7+,79,1,0,0,0,Movie,1
175,The Impossible,2012,13+,79,1,0,0,0,Movie,1
176,War Dogs,2016,18+,79,1,0,0,0,Movie,1
177,Ip Man,2008,18+,79,1,0,0,0,Movie,1
178,The Speed Cubers,2020,Unknown,79,1,0,0,0,Movie,1
179,Kung Fu Panda 2,2011,7+,79,1,0,0,0,Movie,1
180,The Dirt,2019,18+,79,1,0,0,0,Movie,1
181,Andhadhun,2018,Unknown,79,1,0,0,0,Movie,1
182,Atlantics,2019,13+,79,1,0,0,0,Movie,1
183,37 Seconds,2019,Unknown,79,1,0,0,0,Movie,1
184,El Camino: A Breaking Bad Movie,2019,18+,79,1,0,0,0,Movie,1
185,Underworld,2003,18+,79,1,1,1,0,Movie,3
186,The Ring,2002,13+,79,1,0,1,0,Movie,2
187,Hold the Dark,2018,Unknown,79,1,0,0,0,Movie,1
188,The Karate Kid,1984,7+,79,1,0,0,0,Movie,1
189,Quincy,2018,18+,79,1,0,0,0,Movie,1
190,The Patriot,2000,18+,79,1,0,0,0,Movie,1
191,Get In,2019,18+,79,1,0,0,0,Movie,1
192,ZZ Top: That Little Ol' Band From Texas,2019,Unknown,79,1,0,0,0,Movie,1
193,Jerry Before Seinfeld,2017,16+,79,1,0,0,0,Movie,1
194,Mike Birbiglia: The New One,2019,Unknown,78,1,0,0,0,Movie,1
195,A Silent Voice: The Movie,2016,13+,78,1,0,0,0,Movie,1
196,Klaus,2019,7+,78,1,0,0,0,Movie,1
197,Snowden,2016,18+,78,1,0,0,0,Movie,1
198,"Nick Kroll & John Mulaney: Oh, Hello on Broadway",2017,18+,78,1,0,0,0,Movie,1
199,What's Eating Gilbert Grape,1993,13+,78,1,0,0,0,Movie,1
200,The Da Vinci Code,2006,13+,78,1,1,0,0,Movie,2
201,Stranger Than Fiction,2006,13+,78,1,0,0,0,Movie,1
202,Don 2,2011,Unknown,78,1,0,0,0,Movie,1
203,Elena,2013,Unknown,78,1,0,0,0,Movie,1
204,Real Steel,2011,13+,78,1,0,0,0,Movie,1
205,The Founder,2017,13+,78,1,0,0,0,Movie,1
206,Stargate,1994,13+,78,1,0,0,0,Movie,1
207,Shirkers,2018,Unknown,78,1,0,0,0,Movie,1
208,Chef,2014,18+,78,1,0,0,0,Movie,1
209,Fire in the Blood,2013,Unknown,78,1,0,0,0,Movie,1
210,Austin Powers: International Man of Mystery,1997,13+,78,1,0,0,0,Movie,1
211,Miles Davis: Birth of the Cool,2019,Unknown,78,1,0,0,0,Movie,1
212,Insidious,2010,13+,78,1,0,0,0,Movie,1
213,Screwball,2019,Unknown,78,1,0,0,0,Movie,1
214,The Old Guard,2020,18+,78,1,0,0,0,Movie,1
215,Rango,2011,7+,78,1,0,0,0,Movie,1
216,Before I Wake,2016,13+,78,1,0,0,0,Movie,1
217,The Disaster Artist,2017,18+,78,1,0,0,0,Movie,1
218,Fruitvale Station,2013,18+,77,1,0,0,0,Movie,1
219,The Florida Project,2017,18+,77,1,0,0,0,Movie,1
220,Behind the Curve,2018,16+,77,1,0,0,0,Movie,1
221,Lawless,2012,18+,77,1,0,0,0,Movie,1
222,Errementari: The Blacksmith and the Devil,2018,18+,77,1,0,0,0,Movie,1
223,Audrie & Daisy,2016,Unknown,77,1,0,0,0,Movie,1
224,Quantum of Solace,2008,13+,77,1,0,0,0,Movie,1
225,The Master,2012,18+,77,1,0,0,0,Movie,1
226,Layer Cake,2004,18+,77,1,0,0,0,Movie,1
227,Flipped,2010,7+,77,1,0,0,0,Movie,1
228,Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,2018,16+,77,1,0,0,0,Movie,1
229,Friends with Benefits,2011,18+,77,1,1,0,0,Movie,2
230,Tig,2015,Unknown,77,1,0,0,0,Movie,1
231,Roll Red Roll,2019,Unknown,77,1,0,0,0,Movie,1
232,Enola Holmes,2020,13+,77,1,0,0,0,Movie,1
233,PK,2015,13+,77,1,0,0,0,Movie,1
234,Good Time,2017,18+,77,1,0,0,0,Movie,1
235,The Next Three Days,2010,13+,77,1,0,0,0,Movie,1
236,Miracle in Cell No. 7,2019,16+,77,1,0,0,0,Movie,1
237,Like Stars on Earth,2007,7+,77,1,0,0,0,Movie,1
238,Trixie Mattel: Moving Parts,2019,Unknown,77,1,0,0,0,Movie,1
239,Talaash,2012,Unknown,77,1,0,0,0,Movie,1
240,Evelyn,2019,Unknown,77,1,0,0,0,Movie,1
241,I Am Sam,2001,13+,77,1,0,0,0,Movie,1
242,In the Shadow of the Moon,2019,18+,77,1,0,0,0,Movie,1
243,Neon Genesis Evangelion: The End of Evangelion,1997,18+,77,1,0,0,0,Movie,1
244,Memoirs of a Geisha,2005,13+,76,1,0,0,0,Movie,1
245,Mad Max,1979,18+,76,1,0,0,0,Movie,1
246,John Leguizamo's Latin History for Morons,2018,7+,76,1,0,0,0,Movie,1
247,And Breathe Normally,2018,16+,76,1,0,0,0,Movie,1
248,The Killing of a Sacred Deer,2017,18+,76,1,0,0,0,Movie,1
249,Angels & Demons,2009,13+,76,1,1,0,0,Movie,2
250,Smoke & Mirrors,2016,Unknown,76,1,0,0,0,Movie,1
251,Bright,2017,18+,76,1,0,0,0,Movie,1
252,Yes Man,2008,13+,76,1,0,0,0,Movie,1
253,Murder Mystery,2019,13+,76,1,0,0,0,Movie,1
254,Pink,2016,Unknown,76,1,0,0,0,Movie,1
255,The Photographer of Mauthausen,2018,18+,76,1,0,0,0,Movie,1
256,Midnight Run,1988,18+,76,1,0,0,0,Movie,1
257,Flavors of Youth,2018,13+,76,1,0,0,0,Movie,1
258,13th,2016,18+,76,1,0,0,0,Movie,1
259,Ravenous,2017,18+,76,1,0,0,0,Movie,1
260,Austin Powers: The Spy Who Shagged Me,1999,13+,76,1,0,0,0,Movie,1
261,The Life of David Gale,2003,18+,76,1,0,0,0,Movie,1
262,Tramps,2016,Unknown,76,1,0,0,0,Movie,1
263,The Girl Next Door,2004,18+,76,1,0,0,0,Movie,1
264,The Two Popes,2019,13+,76,1,0,0,0,Movie,1
265,The Wandering Earth,2019,13+,76,1,0,0,0,Movie,1
266,Just Another Love Story,2007,Unknown,76,1,0,0,0,Movie,1
267,Eye for an Eye,2019,18+,76,1,0,0,0,Movie,1
268,Patton Oswalt: Annihilation,2017,Unknown,76,1,0,0,0,Movie,1
269,Joan Didion: The Center Will Not Hold,2017,Unknown,76,1,0,0,0,Movie,1
